icd9,phecode,phenotype
0030,008,Intestinal infection
0030,008,Intestinal infection
0031,038,Septicemia
0031,038,Septicemia
0038,008,Intestinal infection
0038,008,Intestinal infection
0039,008,Intestinal infection
0039,008,Intestinal infection
0041,008,Intestinal infection
0041,008,Intestinal infection
0048,008,Intestinal infection
0048,008,Intestinal infection
0049,008,Intestinal infection
0049,008,Intestinal infection
0051,008,Intestinal infection
0051,008,Intestinal infection
00581,008,Intestinal infection
00581,008,Intestinal infection
0059,008,Intestinal infection
0071,008,Intestinal infection
0071,008,Intestinal infection
0074,008,Intestinal infection
0074,008,Intestinal infection
00804,008,Intestinal infection
00804,008,Intestinal infection
00804,008,Intestinal infection
00841,008,Intestinal infection
00841,008,Intestinal infection
00843,008,Intestinal infection
00843,008,Intestinal infection
00845,008,Intestinal infection
00845,008,Intestinal infection
00845,008,Intestinal infection
00847,008,Intestinal infection
00847,008,Intestinal infection
0085,008,Intestinal infection
0085,008,Intestinal infection
00861,008,Intestinal infection
00861,008,Intestinal infection
00862,008,Intestinal infection
00862,008,Intestinal infection
00863,008,Intestinal infection
00863,008,Intestinal infection
00869,008,Intestinal infection
00869,008,Intestinal infection
0088,008,Intestinal infection
0088,008,Intestinal infection
0090,008,Intestinal infection
0091,008,Intestinal infection
0092,008,Intestinal infection
0093,008,Intestinal infection
01085,010,Tuberculosis
01123,010,Tuberculosis
01136,010,Tuberculosis
01164,010,Tuberculosis
01186,010,Tuberculosis
01190,010,Tuberculosis
01193,010,Tuberculosis
01194,010,Tuberculosis
01205,010,Tuberculosis
01215,010,Tuberculosis
01300,010,Tuberculosis
01304,010,Tuberculosis
01325,010,Tuberculosis
01330,010,Tuberculosis
01354,010,Tuberculosis
01402,010,Tuberculosis
01405,010,Tuberculosis
01485,010,Tuberculosis
01504,010,Tuberculosis
01505,010,Tuberculosis
01803,010,Tuberculosis
01805,010,Tuberculosis
01880,010,Tuberculosis
01890,010,Tuberculosis
01894,010,Tuberculosis
01895,010,Tuberculosis
01896,010,Tuberculosis
0218,041,Bacterial infection NOS
0239,041,Bacterial infection NOS
0270,041,Bacterial infection NOS
0272,041,Bacterial infection NOS
0279,041,Bacterial infection NOS
0309,031,Diseases due to other mycobacteria
0309,031,Diseases due to other mycobacteria
0310,480,Pneumonia
0310,480,Pneumonia
0311,686,Other local infections of skin and subcutaneous tissue
0312,031,Diseases due to other mycobacteria
0318,031,Diseases due to other mycobacteria
0319,031,Diseases due to other mycobacteria
03285,686,Other local infections of skin and subcutaneous tissue
03289,041,Bacterial infection NOS
0329,041,Bacterial infection NOS
0338,041,Bacterial infection NOS
0340,465,Acute upper respiratory infections of multiple or unspecified sites
035,686,Other local infections of skin and subcutaneous tissue
0360,320,Meningitis
0362,038,Septicemia
0362,038,Septicemia
03641,420,Carditis
03641,420,Carditis
0380,038,Septicemia
0380,038,Septicemia
03810,038,Septicemia
03810,038,Septicemia
03811,038,Septicemia
03811,038,Septicemia
03812,038,Septicemia
03812,038,Septicemia
03819,038,Septicemia
03819,038,Septicemia
0382,038,Septicemia
0382,038,Septicemia
0383,038,Septicemia
03840,038,Septicemia
