SUBJECT_ID,ORIGINAL_INDEX
109,0
112,1
113,2
114,3
115,4
117,6
119,8
122,10
123,11
124,12
125,13
126,14
127,15
128,16
129,17
130,18
131,19
132,20
133,21
134,22
135,23
136,24
137,25
138,26
64,27
65,28
66,29
67,30
68,31
69,32
70,33
71,34
72,35
73,36
74,37
75,38
77,39
78,40
79,41
80,42
81,43
82,44
83,45
84,46
85,47
86,48
87,49
88,50
89,51
91,52
92,53
93,54
94,55
95,56
96,57
97,58
98,59
99,60
100,61
101,62
102,63
103,64
104,65
105,66
3,68
4,69
6,71
8,73
9,74
10,75
12,77
13,78
16,79
17,80
18,81
19,82
20,83
21,84
22,85
23,86
24,87
25,88
26,89
27,90
28,91
30,92
31,93
32,94
33,95
34,96
35,97
36,98
37,99
38,100
39,101
41,102
42,103
43,104
44,105
45,106
46,107
49,108
50,109
52,111
53,112
55,114
56,115
57,116
59,118
60,119
61,120
62,121
63,122
273,123
274,124
275,125
245,126
246,127
247,128
248,129
249,130
250,131
251,132
252,133
253,134
255,135
256,136
176,138
177,139
178,140
179,141
180,142
181,143
182,144
183,145
184,146
186,148
187,149
188,150
189,151
190,152
191,153
192,154
194,156
195,157
197,158
198,159
199,160
288,161
290,162
292,164
293,165
294,166
295,167
296,168
297,169
298,170
299,171
301,173
302,174
303,175
304,176
305,177
306,178
307,179
308,180
309,181
310,182
313,184
314,185
315,186
316,187
317,188
318,189
319,190
320,191
321,192
139,193
140,194
141,195
142,196
143,197
144,198
145,199
157,200
158,201
159,202
160,203
161,204
162,205
163,206
164,207
165,208
166,209
167,210
169,212
170,213
171,214
172,215
173,216
174,217
146,218
147,219
148,220
149,221
150,222
151,223
152,224
154,226
155,227
156,228
110,229
111,230
106,231
107,232
108,233
200,234
201,235
202,236
205,239
208,240
209,241
210,242
211,243
212,244
213,245
214,246
217,248
218,249
219,250
220,251
221,252
223,254
224,255
225,256
226,257
228,259
229,260
230,261
231,262
232,263
234,265
235,266
236,267
238,268
239,269
240,270
241,271
242,272
243,273
257,275
258,276
260,277
261,278
262,279
263,280
265,282
266,283
267,284
268,285
269,286
270,287
271,288
272,289
434,290
435,291
436,292
437,293
438,294
439,295
440,296
441,297
443,299
445,301
447,302
462,303
463,304
464,305
465,306
466,307
468,309
469,310
470,311
471,312
472,313
473,314
474,315
475,316
477,318
478,319
479,320
480,321
481,322
448,323
449,324
450,325
452,327
453,328
454,329
456,331
457,332
458,333
460,335
461,336
384,337
385,338
386,339
387,340
388,341
389,342
391,343
392,344
393,345
394,346
395,347
322,348
334,349
335,350
337,352
338,353
339,354
340,355
342,357
344,358
345,359
346,360
347,361
348,362
349,363
350,364
351,365
352,366
353,367
354,368
355,369
356,370
357,371
367,372
368,373
369,374
370,375
371,376
372,377
373,378
374,379
376,380
377,381
379,383
380,384
382,385
383,386
358,387
359,388
360,389
361,390
362,391
363,392
364,393
365,394
366,395
323,396
324,397
325,398
326,399
328,401
329,402
330,403
332,405
333,406
276,407
279,409
280,410
281,411
282,412
283,413
284,414
285,415
286,416
287,417
406,418
407,419
408,420
409,421
410,422
412,424
413,425
414,426
415,427
416,428
417,429
418,430
419,431
420,432
421,433
422,434
423,435
424,436
425,437
426,438
427,439
428,440
429,441
430,442
431,443
433,444
588,445
589,446
590,447
591,448
592,449
593,450
594,451
523,452
525,454
526,455
527,456
528,457
529,458
530,459
531,460
532,461
533,462
534,463
535,464
536,465
537,466
538,467
539,468
540,469
482,470
483,471
484,472
485,473
487,474
488,475
489,476
490,477
491,478
492,479
493,480
495,482
497,483
498,484
499,485
500,486
501,487
502,488
636,489
637,490
638,491
639,492
640,493
642,495
644,497
645,498
646,499
647,500
648,501
649,502
650,503
651,504
652,505
653,506
654,507
655,508
656,509
657,510
659,511
663,513
664,514
665,515
666,516
667,517
668,518
669,519
670,520
671,521
672,522
673,523
674,524
675,525
676,526
677,527
678,528
679,529
680,530
681,531
682,532
685,533
686,534
688,536
697,537
698,538
699,539
700,540
702,541
704,543
705,544
707,545
708,546
709,547
710,548
711,549
689,550
396,551
397,552
398,553
399,554
400,555
401,556
403,558
404,559
405,560
503,561
505,562
506,563
507,564
508,565
509,566
510,567
511,568
512,569
513,570
514,571
515,572
516,573
517,574
518,575
519,576
521,578
522,579
541,580
542,581
543,582
544,583
545,584
546,585
547,586
548,587
549,588
551,590
552,591
553,592
554,593
556,594
557,595
558,596
559,597
561,599
562,600
563,601
564,602
565,603
566,604
567,605
568,606
569,607
570,608
571,609
572,610
573,611
575,612
576,613
577,614
579,615
580,616
595,617
596,618
597,619
598,620
599,621
600,622
601,623
603,625
604,626
605,627
606,628
607,629
608,630
609,631
610,632
611,633
582,634
583,635
584,636
585,637
586,638
587,639
803,642
804,643
750,644
751,645
752,646
754,647
755,648
756,649
757,650
759,652
760,653
761,654
762,655
763,656
765,658
766,659
767,660
768,661
712,662
713,663
715,664
716,665
717,666
718,667
719,668
720,669
721,670
722,671
723,672
724,673
846,675
847,676
849,677
851,678
853,680
855,682
856,683
857,684
858,685
690,686
692,687
693,688
694,689
695,690
696,691
613,693
614,694
616,696
617,697
618,698
619,699
620,700
621,701
622,702
623,703
624,704
625,705
627,706
628,707
629,708
630,709
631,710
632,711
633,712
634,713
635,714
725,715
726,716
727,717
728,718
729,719
730,720
731,721
732,722
733,723
734,724
735,725
736,726
738,728
739,729
740,730
741,731
742,732
743,733
744,734
745,735
746,736
747,737
748,738
749,739
770,740
771,741
772,742
773,743
774,744
775,745
776,746
778,747
779,748
780,749
781,750
783,752
784,753
785,754
786,755
787,756
788,757
789,758
790,759
791,760
793,762
805,763
806,764
808,766
809,767
810,768
811,769
813,771
814,772
794,773
795,774
796,775
797,776
798,777
799,778
930,780
931,781
932,782
935,784
936,785
938,787
939,788
940,789
942,791
943,792
945,793
946,794
947,795
948,796
949,797
950,798
963,799
964,800
965,801
966,802
968,804
969,805
970,806
971,807
972,808
974,810
975,811
976,812
977,813
978,814
979,815
980,816
981,817
983,818
984,819
985,820
986,821
987,822
988,823
989,824
990,825
991,826
1004,827
1005,828
1006,829
1007,830
1008,831
1009,832
1010,833
1011,834
1012,835
1013,836
1014,837
1016,839
1017,840
992,841
993,842
994,843
995,844
996,845
997,846
998,847
999,848
1000,849
1001,850
1002,851
1003,852
952,854
953,855
955,857
956,858
959,860
960,861
961,862
962,863
904,864
905,865
906,866
908,868
859,869
860,870
862,871
864,873
865,874
866,875
868,877
869,878
870,879
871,880
872,881
874,883
875,884
876,885
877,886
878,887
880,888
881,889
882,890
896,891
897,892
898,893
899,894
900,895
901,896
902,897
903,898
883,899
884,900
885,901
886,902
887,903
888,904
889,905
890,906
892,908
893,909
894,910
895,911
815,912
816,913
817,914
818,915
819,916
820,917
821,918
822,919
823,920
824,921
825,922
827,923
828,924
830,926
831,927
832,928
833,929
834,930
835,931
837,933
840,935
841,936
842,937
843,938
916,940
917,941
918,942
919,943
921,945
922,946
923,947
924,948
925,949
927,951
928,952
929,953
1141,954
1142,955
1143,956
1144,957
1145,958
1147,959
1148,960
1149,961
1150,962
1151,963
1152,964
1153,965
1154,966
1155,967
1156,968
1157,969
1159,971
1160,972
1161,973
1179,974
1180,975
1181,976
1182,977
1183,978
1184,979
1185,980
1187,982
1188,983
1190,985
1191,986
1192,987
1193,988
1194,989
1195,990
1196,991
1197,992
1198,993
1199,994
1200,995
1201,996
1203,997
1204,998
909,999
910,1000
911,1001
912,1002
913,1003
914,1004
915,1005
1045,1006
1046,1007
1047,1008
1048,1009
1049,1010
1050,1011
1051,1012
1053,1014
1054,1015
1055,1016
1056,1017
1057,1018
1058,1019
1059,1020
1060,1021
1061,1022
1062,1023
1063,1024
1065,1025
1066,1026
1067,1027
1068,1028
1069,1029
1071,1031
1072,1032
1073,1033
1074,1034
1075,1035
1076,1036
1077,1037
1079,1039
1080,1040
1081,1041
1083,1043
1085,1045
1086,1046
1088,1048
1091,1051
1092,1052
1093,1053
1094,1054
1106,1055
1107,1056
1108,1057
1109,1058
1110,1059
1112,1060
1114,1062
1115,1063
1116,1064
1117,1065
1118,1066
1119,1067
1120,1068
1121,1069
1095,1070
1096,1071
1097,1072
1098,1073
1099,1074
1100,1075
1101,1076
1102,1077
1103,1078
1104,1079
1105,1080
1018,1081
1019,1082
1020,1083
1021,1084
1022,1085
1024,1087
1025,1088
1026,1089
1027,1090
1028,1091
1029,1092
1030,1093
1032,1095
1033,1096
1034,1097
1036,1099
1037,1100
1038,1101
1039,1102
1040,1103
1041,1104
1043,1106
1044,1107
1136,1108
1137,1109
1138,1110
1139,1111
1140,1112
1325,1113
1326,1114
1327,1115
1328,1116
1329,1117
1331,1118
1339,1119
1340,1120
1341,1121
1342,1122
1343,1123
1344,1124
1332,1125
1333,1126
1334,1127
1335,1128
1336,1129
1337,1130
1338,1131
1244,1132
1245,1133
1246,1134
1247,1135
1248,1136
1249,1137
1251,1138
1253,1140
1254,1141
1255,1142
1256,1143
1257,1144
1258,1145
1259,1146
1260,1147
1262,1149
1263,1150
1264,1151
1265,1152
1266,1153
1267,1154
1268,1155
1270,1157
1271,1158
1272,1159
1273,1160
1274,1161
1275,1162
1276,1163
1277,1164
1278,1165
1355,1166
1356,1167
1357,1168
1358,1169
1359,1170
1360,1171
1361,1172
1363,1174
1365,1175
1367,1177
1368,1178
1369,1179
1371,1180
1372,1181
1373,1182
1374,1183
1375,1184
1376,1185
1377,1186
1378,1187
1379,1188
1380,1189
1381,1190
1382,1191
1384,1192
1385,1193
1386,1194
1405,1195
1406,1196
1407,1197
1205,1198
1224,1199
1225,1200
1226,1201
1227,1202
1228,1203
1230,1205
1231,1206
1232,1207
1233,1208
1234,1209
1235,1210
1236,1211
1237,1212
1239,1214
1241,1215
1242,1216
1243,1217
1206,1218
1207,1219
1208,1220
1209,1221
1211,1222
1213,1224
1214,1225
1216,1227
1217,1228
1219,1230
1220,1231
1222,1233
1223,1234
1162,1235
1163,1236
1164,1237
1165,1238
1166,1239
1167,1240
1168,1241
1169,1242
1170,1243
1171,1244
1172,1245
1173,1246
1174,1247
1175,1248
1177,1249
1178,1250
1122,1251
1123,1252
1124,1253
1125,1254
1127,1256
1128,1257
1130,1259
1131,1260
1132,1261
1133,1262
1134,1263
1135,1264
1279,1265
1280,1266
1281,1267
1282,1268
1283,1269
1284,1270
1285,1271
1286,1272
1287,1273
1289,1275
1290,1276
1291,1277
1292,1278
1293,1279
1294,1280
1295,1281
1296,1282
1297,1283
1299,1285
1300,1286
1301,1287
1302,1288
1303,1289
1304,1290
1305,1291
1307,1293
1308,1294
1310,1296
1311,1297
1312,1298
1313,1299
1314,1300
1316,1301
1317,1302
1318,1303
1319,1304
1320,1305
1321,1306
1322,1307
1323,1308
1324,1309
1547,1310
1549,1311
1550,1312
1551,1313
1554,1315
1555,1316
1556,1317
1557,1318
1569,1319
1570,1320
1571,1321
1573,1323
1574,1324
1575,1325
1576,1326
1577,1327
1578,1328
1558,1329
1559,1330
1561,1331
1563,1332
1564,1333
1565,1334
1566,1335
1567,1336
1568,1337
1473,1338
1474,1339
1476,1341
1477,1342
1478,1343
1479,1344
1480,1345
1483,1346
1485,1348
1486,1349
1487,1350
1488,1351
1408,1352
1409,1353
1410,1354
1411,1355
1412,1356
1414,1358
1415,1359
1417,1360
1418,1361
1419,1362
1420,1363
1421,1364
1422,1365
1424,1367
1426,1369
1427,1370
1428,1371
1430,1372
1431,1373
1432,1374
1433,1375
1434,1376
1435,1377
1436,1378
1437,1379
1438,1380
1439,1381
1440,1382
1457,1384
1458,1385
1459,1386
1460,1387
1462,1388
1463,1389
1464,1390
1465,1391
1466,1392
1467,1393
1469,1394
1470,1395
1471,1396
1472,1397
1442,1398
1443,1399
1444,1400
1446,1402
1447,1403
1448,1404
1449,1405
1450,1406
1451,1407
1452,1408
1453,1409
1454,1410
1455,1411
1456,1412
1387,1413
1389,1415
1390,1416
1391,1417
1393,1419
1394,1420
1395,1421
1396,1422
1397,1423
1398,1424
1399,1425
1401,1426
1402,1427
1403,1428
1404,1429
1346,1431
1348,1433
1349,1434
1350,1435
1351,1436
1353,1438
1354,1439
1507,1440
1508,1441
1509,1442
1510,1443
1512,1444
1513,1445
1515,1447
1516,1448
1517,1449
1518,1450
1519,1451
1520,1452
1521,1453
1522,1454
1524,1455
1525,1456
1526,1457
1527,1458
1528,1459
1530,1461
1531,1462
1532,1463
1533,1464
1534,1465
1535,1466
1537,1467
1538,1468
1539,1469
1540,1470
1541,1471
1542,1472
1543,1473
1544,1474
1546,1475
1684,1476
1685,1477
1686,1478
1687,1479
1688,1480
1689,1481
1690,1482
1691,1483
1692,1484
1621,1485
1622,1486
1623,1487
1624,1488
1626,1490
1627,1491
1628,1492
1630,1494
1631,1495
1632,1496
1633,1497
1634,1498
1636,1499
1579,1500
1580,1501
1581,1502
1582,1503
1583,1504
1585,1506
1586,1507
1587,1508
1588,1509
1591,1512
1592,1513
1593,1514
1594,1515
2652,1516
2653,1517
2655,1518
2656,1519
2657,1520
2658,1521
2659,1522
2660,1523
2662,1525
2663,1526
2664,1527
2665,1528
2666,1529
2667,1530
2747,1531
2748,1532
2749,1533
2750,1534
2752,1535
2753,1536
2754,1537
2755,1538
2756,1539
2757,1540
2758,1541
2759,1542
2828,1543
2829,1544
2830,1545
2831,1546
2832,1547
2834,1548
2835,1549
2836,1550
2840,1554
2841,1555
2842,1556
2843,1557
2918,1558
2919,1559
2920,1560
2921,1561
2922,1562
2923,1563
2924,1564
2925,1565
2927,1567
2928,1568
2929,1569
2931,1571
2934,1574
2668,1575
1489,1576
1491,1578
1492,1579
1493,1580
1494,1581
1495,1582
1496,1583
1497,1584
1498,1585
1500,1586
1501,1587
1502,1588
1503,1589
1504,1590
1505,1591
1506,1592
1596,1594
1598,1596
1599,1597
1600,1598
1601,1599
1602,1600
1603,1601
1604,1602
1606,1604
1608,1605
1609,1606
1610,1607
1611,1608
1612,1609
1613,1610
1614,1611
1615,1612
1616,1613
1617,1614
1619,1616
1620,1617
1637,1618
1638,1619
1639,1620
1640,1621
1641,1622
1642,1623
1645,1625
1646,1626
1647,1627
1649,1629
1650,1630
1651,1631
1652,1632
1653,1633
1655,1635
1656,1636
1657,1637
1658,1638
1660,1639
1662,1641
1663,1642
1664,1643
1665,1644
1666,1645
1667,1646
1668,1647
1671,1648
1672,1649
1673,1650
1674,1651
1675,1652
1676,1653
1693,1654
1694,1655
1695,1656
1696,1657
1697,1658
1698,1659
1699,1660
1700,1661
1701,1662
1703,1663
1704,1664
1705,1665
1706,1666
1707,1667
1677,1668
1678,1669
1679,1670
1681,1672
1682,1673
1683,1674
3019,1675
3020,1676
3021,1677
3022,1678
3023,1679
3024,1680
3026,1682
3027,1683
3029,1685
3031,1687
3032,1688
3033,1689
3035,1691
3036,1692
3037,1693
3039,1695
3041,1697
3042,1698
3044,1699
3046,1701
3047,1702
3048,1703
3049,1704
3050,1705
3051,1706
3052,1707
3053,1708
3054,1709
3055,1710
3056,1711
3057,1712
3100,1713
3059,1715
3060,1716
3061,1717
3064,1720
3065,1721
3066,1722
3068,1723
3069,1724
3070,1725
3071,1726
2669,1727
2670,1728
2671,1729
2672,1730
2673,1731
2674,1732
2676,1734
2677,1735
2679,1737
2680,1738
2681,1739
2683,1741
2684,1742
2686,1743
2760,1744
2761,1745
2762,1746
2765,1748
2766,1749
2768,1750
2769,1751
2771,1752
2772,1753
2773,1754
2774,1755
2775,1756
2776,1757
2844,1758
2845,1759
2846,1760
2847,1761
2849,1762
2850,1763
2851,1764
2852,1765
2853,1766
2854,1767
2855,1768
2856,1769
2857,1770
2858,1771
2859,1772
2860,1773
2862,1775
2863,1776
2864,1777
2935,1778
2937,1779
2938,1780
2939,1781
2940,1782
2941,1783
2942,1784
2943,1785
2944,1786
2945,1787
2947,1789
2948,1790
2949,1791
2950,1792
2951,1793
2952,1794
2953,1795
2956,1797
2957,1798
2958,1799
2961,1802
2962,1803
2963,1804
2964,1805
2965,1806
2967,1808
2968,1809
2969,1810
2970,1811
2971,1812
2972,1813
2974,1815
2975,1816
2976,1817
2977,1818
2978,1819
2979,1820
2980,1821
2981,1822
2982,1823
2983,1824
2984,1825
2985,1826
2986,1827
2987,1828
2988,1829
2989,1830
2990,1831
2991,1832
2992,1833
2993,1834
2994,1835
2995,1836
2996,1837
2997,1838
2998,1839
2999,1840
3000,1841
3001,1842
3002,1843
3003,1844
3004,1845
3006,1847
3007,1848
3008,1849
3009,1850
3010,1851
3011,1852
3012,1853
3013,1854
3014,1855
3015,1856
3016,1857
3018,1859
3392,1860
3393,1861
3394,1862
3395,1863
3396,1864
3397,1865
3398,1866
3399,1867
3400,1868
3117,1869
3118,1870
3119,1871
3120,1872
3122,1874
3123,1875
3124,1876
3125,1877
3127,1878
3128,1879
3253,1880
3254,1881
3255,1882
3258,1885
3259,1886
3260,1887
3261,1888
3262,1889
3263,1890
3265,1891
3266,1892
3267,1893
3401,1894
3402,1895
3403,1896
3405,1898
3406,1899
3408,1900
3409,1901
3411,1902
3413,1904
3415,1906
3416,1907
3417,1908
3129,1909
3132,1910
3133,1911
3134,1912
3135,1913
3137,1915
3138,1916
3139,1917
3140,1918
3141,1919
3142,1920
3143,1921
3144,1922
3269,1924
3271,1925
3272,1926
3273,1927
3274,1928
3275,1929
3276,1930
3278,1932
3279,1933
3280,1934
3419,1936
3420,1937
3421,1938
3424,1940
3425,1941
3426,1942
3145,1943
3073,1944
3074,1945
3075,1946
3076,1947
3077,1948
3078,1949
3079,1950
3080,1951
3081,1952
3082,1953
3083,1954
3084,1955
3085,1956
3087,1958
3088,1959
3089,1960
3090,1961
3091,1962
3092,1963
3093,1964
3094,1965
3095,1966
3096,1967
3097,1968
3099,1969
3101,1970
3102,1971
3103,1972
3104,1973
3105,1974
3107,1976
3108,1977
3109,1978
3110,1979
3111,1980
3113,1982
3114,1983
