icd9,ICD9 String,phecode,phenotype,Excl. Phecodes,Excl. Phenotypes,Rollup,Leaf,Ignore Bool
0030,Salmonella gastroenteritis,008,Intestinal infection,001-009.99, Intestinal infection,1,1,0
0031,Salmonella septicemia,038,Septicemia,010-041.99, bacterial infection,1,1,0
0038,Other specified salmonella infections,008,Intestinal infection,001-009.99, Intestinal infection,1,1,0
0039,Salmonella infection NOS,008,Intestinal infection,001-009.99, Intestinal infection,1,1,0
0041,Shigella flexneri,008,Intestinal infection,001-009.99, Intestinal infection,1,1,0
0048,Other specified shigella infections,008,Intestinal infection,001-009.99, Intestinal infection,1,1,0
0049,Shigellosis NOS,008,Intestinal infection,001-009.99, Intestinal infection,1,1,0
0051,Botulism food poisoning,008,Intestinal infection,001-009.99, Intestinal infection,1,1,0
00581,Food poisoning due to Vibrio vulnificus,008,Intestinal infection,001-009.99, Intestinal infection,1,1,0
0059,Food poisoning NOS,008,Intestinal infection,001-009.99, Intestinal infection,1,0,0
0071,Giardiasis,008,Intestinal infection,001-009.99, Intestinal infection,1,1,0
0074,Cryptosporidiosis,008,Intestinal infection,001-009.99, Intestinal infection,1,1,0
00804,Intestinal infection due to enterohemorrhagic E. coli,008,Intestinal infection,001-009.99, Intestinal infection,1,1,0
00841,Intestinal infection due to staphylococcus,008,Intestinal infection,001-009.99, Intestinal infection,1,1,0
00843,Intestinal infection due to campylobacter,008,Intestinal infection,001-009.99, Intestinal infection,1,1,0
00845,Intestinal infection due to clostridium difficile,008,Intestinal infection,001-009.99, Intestinal infection,1,1,0
00847,Intestinal infection due to other gram-negative bacteria,008,Intestinal infection,001-009.99, Intestinal infection,1,1,0
0085,"Bacterial enteritis, unspecified",008,Intestinal infection,001-009.99, Intestinal infection,1,1,0
00861,Enteritis due to rotavirus,008,Intestinal infection,001-009.99, Intestinal infection,1,1,0
00862,Enteritis due to adenovirus,008,Intestinal infection,001-009.99, Intestinal infection,1,1,0
00863,Enteritis due to norwalk virus,008,Intestinal infection,001-009.99, Intestinal infection,1,1,0
00869,Other viral enteritis,008,Intestinal infection,001-009.99, Intestinal infection,1,1,0
0088,Viral enteritis NOS,008,Intestinal infection,001-009.99, Intestinal infection,1,1,0
0090,"Infectious colitis, enteritis, and gastroenteritis",008,Intestinal infection,001-009.99, Intestinal infection,1,0,0
0091,"Colitis, enteritis, and gastroenteritis of presumed infectious origin",008,Intestinal infection,001-009.99, Intestinal infection,1,0,0
0092,Infectious diarrhea,008,Intestinal infection,001-009.99, Intestinal infection,1,0,0
0093,Diarrhea of presumed infectious origin,008,Intestinal infection,001-009.99, Intestinal infection,1,0,0
01085,"Other primary progressive tuberculosis, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically",010,Tuberculosis,010-041.99, bacterial infection,1,0,0
01123,"Tuberculosis of lung with cavitation, tubercle bacilli found (in sputum) by microscopy",010,Tuberculosis,010-041.99, bacterial infection,1,0,0
01136,"Tuberculosis of bronchus, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]",010,Tuberculosis,010-041.99, bacterial infection,1,0,0
01164,"Tuberculous pneumonia [any form], tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture",010,Tuberculosis,010-041.99, bacterial infection,1,0,0
01186,"Other specified pulmonary tuberculosis, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]",010,Tuberculosis,010-041.99, bacterial infection,1,0,0
01190,"Unspecified pulmonary tuberculosis, unspecified examination",010,Tuberculosis,010-041.99, bacterial infection,1,0,0
01193,"Unspecified pulmonary tuberculosis, tubercle bacilli found (in sputum) by microscopy",010,Tuberculosis,010-041.99, bacterial infection,1,0,0
01194,"Unspecified pulmonary tuberculosis, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture",010,Tuberculosis,010-041.99, bacterial infection,1,0,0
01205,"Tuberculous pleurisy, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically",010,Tuberculosis,010-041.99, bacterial infection,1,0,0
01215,"Tuberculosis of intrathoracic lymph nodes, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically",010,Tuberculosis,010-041.99, bacterial infection,1,0,0
01300,Tuberculous meningitis unspecified examination,010,Tuberculosis,010-041.99, bacterial infection,1,0,0
01304,"Tuberculous meningitis, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture",010,Tuberculosis,010-041.99, bacterial infection,1,0,0
01325,"Tuberculoma of brain, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically",010,Tuberculosis,010-041.99, bacterial infection,1,0,0
01330,"Tuberculous abscess of brain, unspecified examination",010,Tuberculosis,010-041.99, bacterial infection,1,0,0
01354,"Tuberculous abscess of spinal cord, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture",010,Tuberculosis,010-041.99, bacterial infection,1,0,0
01402,"Tuberculous peritonitis, bacteriological or histological examination unknown (at present)",010,Tuberculosis,010-041.99, bacterial infection,1,0,0
01405,"Tuberculous peritonitis, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically",010,Tuberculosis,010-041.99, bacterial infection,1,0,0
01485,"Tuberculosis of intestines and mesenteric glands, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically",010,Tuberculosis,010-041.99, bacterial infection,1,0,0
01504,"Tuberculosis of vertebral column, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture",010,Tuberculosis,010-041.99, bacterial infection,1,0,0
01505,"Tuberculosis of vertebral column, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically",010,Tuberculosis,010-041.99, bacterial infection,1,0,0
01803,"Acute miliary tuberculosis, tubercle bacilli found (in sputum) by microscopy",010,Tuberculosis,010-041.99, bacterial infection,1,0,0
01805,"Acute miliary tuberculosis, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically",010,Tuberculosis,010-041.99, bacterial infection,1,0,0
01880,"Other specified miliary tuberculosis, unspecified examination",010,Tuberculosis,010-041.99, bacterial infection,1,0,0
01890,"Unspecified miliary tuberculosis, unspecified examination",010,Tuberculosis,010-041.99, bacterial infection,1,0,0
01894,"Unspecified miliary tuberculosis, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture",010,Tuberculosis,010-041.99, bacterial infection,1,0,0
01895,"Unspecified miliary tuberculosis, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically",010,Tuberculosis,010-041.99, bacterial infection,1,0,0
01896,"Unspecified miliary tuberculosis, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]",010,Tuberculosis,010-041.99, bacterial infection,1,0,0
0218,Other specified tularemia,041,Bacterial infection NOS,010-041.99, bacterial infection,1,0,0
0239,Brucellosis NOS,041,Bacterial infection NOS,010-041.99, bacterial infection,1,0,0
0270,Listeriosis,041,Bacterial infection NOS,010-041.99, bacterial infection,1,0,0
0272,Pasteurellosis,041,Bacterial infection NOS,010-041.99, bacterial infection,1,0,0
0279,Unspecified zoonotic bacterial disease,041,Bacterial infection NOS,010-041.99, bacterial infection,1,0,0
0309,Leprosy NOS,031,Diseases due to other mycobacteria,010-041.99, bacterial infection,1,1,0
0310,Pulmonary diseases due to other mycobacteria,480,Pneumonia,480-488.99, Pneumonia and influenza,1,1,0
0311,Cutaneous diseases due to other mycobacteria,686,Other local infections of skin and subcutaneous tissue,680-686.99, Skin and subcutaneous tissue infections,1,0,0
0312,Disseminated mycobacterial Disease,031,Diseases due to other mycobacteria,010-041.99, bacterial infection,1,0,0
0318,Other specified mycobacterial diseases,031,Diseases due to other mycobacteria,010-041.99, bacterial infection,1,0,0
0319,Unspecified diseases due to mycobacteria,031,Diseases due to other mycobacteria,010-041.99, bacterial infection,1,0,0
03285,Cutaneous diphtheria,686,Other local infections of skin and subcutaneous tissue,680-686.99, Skin and subcutaneous tissue infections,1,0,0
03289,Other specified diphtheria,041,Bacterial infection NOS,010-041.99, bacterial infection,1,0,0
0329,Diphtheria NOS,041,Bacterial infection NOS,010-041.99, bacterial infection,1,0,0
0338,Whooping cough due to other specified organism,041,Bacterial infection NOS,010-041.99, bacterial infection,1,0,0
0340,Streptococcal sore throat,465,Acute upper respiratory infections of multiple or unspecified sites,460-469.99, acute upper respiratory infections,1,0,0
